video_name,condition,difficulty,match,player_name,hit_target,instructed_target,player_success,interact_start,secs_before_interact,secs_after_interact
DC_2,right,easy,miss,DC,2,2,T,2.5,0.6,-0.12
DC_3,right,hard,goal,DC,6,6,T,1.9,0.6,-0.12
DC_4,left,easy,miss,DC,15,15,T,1.6,0.6,-0.12
DC_5,left,easy,miss,DC,14,14,T,1.7,0.6,-0.12
DC_6,left,hard,goal,DC,12,12,T,1.7,0.6,-0.12
DC_7,left,hard,goal,DC,9,9,T,1.7,0.6,-0.12
DC_8,left,hard,goal,DC,10,10,T,1.4,0.6,-0.12
DC_9,right,easy,miss,DC,3,3,T,1.6,0.6,-0.12
DC_10,left,easy,miss,DC,16,16,T,1.4,0.6,-0.12
DC_11,right,hard,goal,DC,5,5,T,1.7,0.6,-0.12
DC_12,right,hard,goal,DC,8,8,T,1.7,0.6,-0.12
DC_13,left,hard,goal,DC,11,11,T,1.5,0.6,-0.12
DC_14,left,easy,miss,DC,13,13,T,1.3,0.6,-0.12
DC_15,right,easy,miss,DC,4,4,T,1.4,0.6,-0.12
DC_16,right,hard,goal,DC,7,7,T,1.9,0.6,-0.12
DC_17,right,hard,goal,DC,7,7,T,1.7,0.6,-0.12
DC_18,right,easy,miss,DC,3,3,T,1.5,0.6,-0.12
DC_19,left,hard,goal,DC,9,9,T,1.4,0.6,-0.12
DC_20,left,easy,miss,DC,14,14,T,1.4,0.6,-0.12
DC_21,left,hard,goal,DC,10,10,T,1.4,0.6,-0.12
DC_23,left,hard,goal,DC,11,11,T,1.5,0.6,-0.12
DC_24,right,easy,miss,DC,4,4,T,1.5,0.6,-0.12
DC_25,right,easy,miss,DC,1,1,T,1.4,0.6,-0.12
DC_26,left,easy,miss,DC,16,16,T,1.3,0.6,-0.12
DC_27,left,easy,miss,DC,15,15,T,1.3,0.6,-0.12
DC_28,right,hard,goal,DC,6,6,T,1.5,0.6,-0.12
DC_29,left,hard,goal,DC,12,12,T,1.7,0.6,-0.12
DC_30,right,hard,goal,DC,8,8,T,1.5,0.6,-0.12
DC_31,right,easy,miss,DC,2,2,T,1.6,0.6,-0.12
DC_32,right,hard,goal,DC,5,5,T,1.6,0.6,-0.12
DC_33,right,easy,miss,DC,2,2,T,1.6,0.6,-0.12
DC_34,left,easy,miss,DC,14,14,T,1.3,0.6,-0.12
DC_35,left,hard,goal,DC,9,9,T,1.7,0.6,-0.12
DC_36,right,hard,goal,DC,6,6,T,1.3,0.6,-0.12
DC_37,right,hard,goal,DC,5,5,T,1.7,0.6,-0.12
DC_38,left,easy,miss,DC,15,15,T,1.5,0.6,-0.12
DC_39,right,easy,miss,DC,1,1,T,1.4,0.6,-0.12
DC_40,right,hard,goal,DC,8,8,T,1.7,0.6,-0.12
DC_41,right,easy,miss,DC,4,4,T,1.6,0.6,-0.12
DC_42,right,hard,goal,DC,7,7,T,1.7,0.6,-0.12
DC_43,right,easy,miss,DC,3,3,T,1.4,0.6,-0.12
DC_44,left,easy,miss,DC,13,13,T,1.4,0.6,-0.12
DC_45,left,hard,goal,DC,12,12,T,1.5,0.6,-0.12
DC_46,left,hard,goal,DC,10,10,T,1.7,0.6,-0.12
DC_47,left,easy,miss,DC,16,16,T,1.4,0.6,-0.12
DC_49,right,easy,miss,DC,1,1,T,1.2,0.6,-0.12
DC_50,right,hard,goal,DC,6,6,T,1.4,0.6,-0.12
DC_51,right,easy,miss,DC,3,3,T,1.5,0.6,-0.12
DC_52,left,easy,miss,DC,15,15,T,1.5,0.6,-0.12
